Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BOTJ/WTBA,Banks - Regional,0.9541,0.11645,624
BCAL/EBTC,Banks - Regional,0.8758,0.11678,624
BOTJ/PFS,Banks - Regional,0.935,0.11697,624
INDB/LSBK,Banks - Regional,0.9069,0.11719,624
CBFV/FCCO,Banks - Regional,0.9605,0.11758,624
RNST/WSFS,Banks - Regional,0.9549,0.11793,624
FFBC/VABK,Banks - Regional,0.9464,0.11821,624
BANR/LSBK,Banks - Regional,0.9024,0.11854,624
SBCF/SBFG,Banks - Regional,0.9451,0.11872,624
NRIM/SFBC,Banks - Regional,0.8983,0.11879,624
ATLO/FNWD,Banks - Regional,0.9066,0.1193,624
EBTC/SBFG,Banks - Regional,0.9521,0.11948,624
BCAL/SRCE,Banks - Regional,0.8937,0.11994,624
MGYR/OCFC,Banks - Regional,0.8438,0.12012,624
LSBK/SFST,Banks - Regional,0.9133,0.12053,624
BOKF/MPB,Banks - Regional,0.9425,0.12071,624
FNLC/QCRH,Banks - Regional,0.9475,0.12071,624
BSRR/LSBK,Banks - Regional,0.9234,0.12075,624
CAC/WASH,Banks - Regional,0.912,0.12106,624
BCAL/BUSE,Banks - Regional,0.8965,0.12144,624
FCCO/SFBC,Banks - Regional,0.9599,0.12144,624
FBNC/SFBC,Banks - Regional,0.957,0.12163,624
HBCP/HTBK,Banks - Regional,0.9189,0.12165,624
BOTJ/EBTC,Banks - Regional,0.9399,0.12184,624
IBOC/SFBC,Banks - Regional,0.952,0.12189,624
BCAL/CTBI,Banks - Regional,0.8604,0.12195,624
FCCO/FCF,Banks - Regional,0.9625,0.12196,624
BCAL/FCCO,Banks - Regional,0.9028,0.12251,624
FNLC/HIFS,Banks - Regional,0.9507,0.12272,624
FFBC/RVSB,Banks - Regional,0.8707,0.12276,624
FCF/SBFG,Banks - Regional,0.9484,0.12295,624
ATLO/UVSP,Banks - Regional,0.842,0.12299,624
BCAL/HFWA,Banks - Regional,0.8867,0.12307,624
EFSC/FCCO,Banks - Regional,0.9831,0.12312,624
FCCO/WBS,Banks - Regional,0.9618,0.12333,624
FCCO/SMBC,Banks - Regional,0.9382,0.12343,624
FFBC/HBCP,Banks - Regional,0.9742,0.12392,624
BCAL/THFF,Banks - Regional,0.8905,0.12445,624
CATY/CZWI,Banks - Regional,0.9601,0.12449,624
BUSE/FCCO,Banks - Regional,0.9612,0.12474,624
BHLB/LSBK,Banks - Regional,0.8058,0.12475,624
CZWI/UVSP,Banks - Regional,0.9664,0.12499,624
BCAL/PBHC,Banks - Regional,0.8771,0.12501,624
CZNC/FXNC,Banks - Regional,0.8409,0.12506,624
ATLO/FFBC,Banks - Regional,0.8358,0.12509,624
BCAL/WSBC,Banks - Regional,0.8271,0.12519,624
DCOM/OPOF,Banks - Regional,0.8727,0.12526,624
CATY/SMBC,Banks - Regional,0.9774,0.1254,624
BOTJ/WSFS,Banks - Regional,0.9622,0.12542,624
CAC/SHBI,Banks - Regional,0.9246,0.12563,624
FCCO/MGYR,Banks - Regional,0.9527,0.12567,624
BCAL/SHBI,Banks - Regional,0.9119,0.12584,624
CADE/MGYR,Banks - Regional,0.9307,0.12608,624
FMNB/FNWD,Banks - Regional,0.8993,0.12649,624
BUSE/EBTC,Banks - Regional,0.9439,0.12664,624
CAC/FMNB,Banks - Regional,0.9779,0.12682,624
FNB/SFBC,Banks - Regional,0.8832,0.12698,624
NBTB/SFBC,Banks - Regional,0.9656,0.12706,624
BCAL/WBS,Banks - Regional,0.9049,0.12749,624
BOH/FNWD,Banks - Regional,0.9371,0.12753,624
