Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
AFB/NRK,Asset Management,0.9867,0.06355,624,,,,,,,,
NRK/VKQ,Asset Management,0.993,0.06377,624,,,,,,,,
EBTC/FCCO,Banks - Regional,0.9679,0.06402,624,,,,,,,,
MHN/MYI,Asset Management,0.9801,0.06416,624,,,,,,,,
NAN/NXN,Asset Management,0.9782,0.06423,624,,,,,,,,
BYM/VKQ,Asset Management,0.9907,0.06434,624,,,,,,,,
EBTC/LSBK,Banks - Regional,0.9258,0.06523,624,,,,,,,,
ATLO/CIVB,Banks - Regional,0.8973,0.06536,624,,,,,,,,
CAC/CIVB,Banks - Regional,0.9768,0.06558,624,,,,,,,,
NIM/NXN,Asset Management,0.9784,0.06601,624,,,,,,,,
MUE/NMT,Asset Management,0.9701,0.0663,624,,,,,,,,
BFK/BYM,Asset Management,0.976,0.06667,624,,,,,,,,
BTA/NZF,Asset Management,0.9889,0.06668,624,,,,,,,,
CATY/PBHC,Banks - Regional,0.9533,0.06676,624,,,,,,,,
BYM/NAN,Asset Management,0.9862,0.06731,624,,,,,,,,
EOT/PMM,Asset Management,0.9675,0.06736,624,,,,,,,,
BYM/VGM,Asset Management,0.9915,0.06757,624,,,,,,,,
GDO/MMT,Asset Management,0.9793,0.06793,624,,,,,,,,
MQT/MUC,Asset Management,0.9881,0.0681,624,,,,,,,,
LSBK/WTBA,Banks - Regional,0.9291,0.06866,624,,,,,,,,
MYD/NUW,Asset Management,0.9795,0.06867,624,,,,,,,,
EVN/IIM,Asset Management,0.992,0.06878,624,,,,,,,,
EOT/MMU,Asset Management,0.9743,0.06885,624,,,,,,,,
IGI/OIA,Asset Management,0.969,0.06909,624,,,,,,,,
CATY/LSBK,Banks - Regional,0.8914,0.07029,624,,,,,,,,
NUW/NXN,Asset Management,0.9776,0.07057,624,,,,,,,,
CBFV/HBCP,Banks - Regional,0.9591,0.07149,624,,,,,,,,
LSBK/WASH,Banks - Regional,0.9239,0.07158,624,,,,,,,,
NZF/PMM,Asset Management,0.9896,0.07241,624,,,,,,,,
BOE/TWN,Asset Management,0.9533,0.07244,624,,,,,,,,
IQI/NEA,Asset Management,0.9901,0.07259,624,,,,,,,,
MHF/NXN,Asset Management,0.9695,0.07263,624,,,,,,,,
PIM/PPT,Asset Management,0.9929,0.07275,624,,,,,,,,
HBAN/LSBK,Banks - Regional,0.8971,0.07292,624,,,,,,,,
MIY/MPA,Asset Management,0.9884,0.07292,624,,,,,,,,
EOT/MHD,Asset Management,0.9722,0.07307,624,,,,,,,,
AFB/NXN,Asset Management,0.9675,0.07324,624,,,,,,,,
MIY/MUJ,Asset Management,0.9946,0.07342,624,,,,,,,,
CAC/FNWD,Banks - Regional,0.9051,0.07346,624,,,,,,,,
MVF/NAN,Asset Management,0.9738,0.07361,624,,,,,,,,
MVF/MYN,Asset Management,0.9838,0.07382,624,,,,,,,,
FMN/MHN,Asset Management,0.9888,0.07431,624,,,,,,,,
NXN/VGM,Asset Management,0.9699,0.07434,624,,,,,,,,
EOT/MFM,Asset Management,0.9865,0.07447,624,,,,,,,,
NAC/NXC,Asset Management,0.9741,0.07524,624,,,,,,,,
MHD/MVT,Asset Management,0.989,0.07531,624,,,,,,,,
MVF/NUW,Asset Management,0.973,0.07575,624,,,,,,,,
BRKL/LSBK,Banks - Regional,0.8931,0.07634,624,,,,,,,,
