Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
ESLT/WWD,Aerospace & Defense,0.9129,0.5414,624
AIR/VSEC,Aerospace & Defense,0.8585,0.54919,624
DRS/VSEC,Aerospace & Defense,0.8563,0.54998,624
CW/TXT,Aerospace & Defense,0.8705,0.55594,624
AIR/NOC,Aerospace & Defense,0.8673,0.55677,624
AXON/VSEC,Aerospace & Defense,0.9104,0.55694,624
ESLT/HEI,Aerospace & Defense,0.9255,0.55842,624
AIR/WWD,Aerospace & Defense,0.8875,0.56063,624
AXON/TATT,Aerospace & Defense,0.8165,0.56249,624
ESLT/RTX,Aerospace & Defense,0.9231,0.56266,624
LMT/TXT,Aerospace & Defense,0.895,0.56412,624
CW/RTX,Aerospace & Defense,0.9408,0.56644,624
LMT/VSEC,Aerospace & Defense,0.8132,0.56793,624
TXT/WWD,Aerospace & Defense,0.8791,0.57054,624
ESLT/VSEC,Aerospace & Defense,0.8736,0.57115,624
GD/TXT,Aerospace & Defense,0.9577,0.57238,624
RTX/TDG,Aerospace & Defense,0.9196,0.57856,624
NOC/VSEC,Aerospace & Defense,0.8069,0.57888,624
AXON/DRS,Aerospace & Defense,0.9539,0.58145,624
ESLT/TDG,Aerospace & Defense,0.9018,0.58186,624
RTX/TXT,Aerospace & Defense,0.9042,0.58197,624
GD/NOC,Aerospace & Defense,0.9633,0.58435,624
AIR/AVAV,Aerospace & Defense,0.854,0.58553,624
LMT/RTX,Aerospace & Defense,0.9257,0.59003,624
RTX/WWD,Aerospace & Defense,0.9317,0.59298,624
NOC/RTX,Aerospace & Defense,0.922,0.59512,624
GD/LMT,Aerospace & Defense,0.9581,0.59604,624
AXON/HEI,Aerospace & Defense,0.8919,0.60013,624
HEI/TXT,Aerospace & Defense,0.8702,0.60132,624
NOC/TXT,Aerospace & Defense,0.9071,0.60256,624
NOC/WWD,Aerospace & Defense,0.9025,0.60586,624
DRS/RTX,Aerospace & Defense,0.8029,0.61719,624
ESLT/TXT,Aerospace & Defense,0.8275,0.62932,624
CW/DCO,Aerospace & Defense,0.8538,0.6301,624
GD/RTX,Aerospace & Defense,0.9408,0.63033,624
AXON/CW,Aerospace & Defense,0.9356,0.67561,624
AXON/RTX,Aerospace & Defense,0.8579,0.67875,624
GD/HXL,Aerospace & Defense,0.8331,0.67932,624
AXON/WWD,Aerospace & Defense,0.8789,0.70309,624
AXON/ESLT,Aerospace & Defense,0.8535,0.74132,624
