Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BLE/MYD,Asset Management,0.9883,0.08779,624
NXN/PMM,Asset Management,0.9764,0.08782,624
BFK/NAN,Asset Management,0.9698,0.08784,624
GDO/JHS,Asset Management,0.9821,0.08786,624
MFM/NZF,Asset Management,0.9788,0.08789,624
MMU/NXN,Asset Management,0.9539,0.08842,624
AFB/NQP,Asset Management,0.9812,0.08857,624
MHN/NMT,Asset Management,0.9726,0.08894,624
MVT/NAN,Asset Management,0.9526,0.08926,624
BYM/NXN,Asset Management,0.9721,0.08966,624
BNY/NMT,Asset Management,0.9599,0.0899,624
IGI/NMI,Asset Management,0.9604,0.08996,624
BFK/MUC,Asset Management,0.9881,0.08998,624
BHK/PAI,Asset Management,0.9778,0.09022,624
DSM/MFM,Asset Management,0.9836,0.09073,624
BFK/MYD,Asset Management,0.986,0.09075,624
MIY/MQT,Asset Management,0.9894,0.0911,624
AFB/NMT,Asset Management,0.974,0.09128,624
NXN/VMO,Asset Management,0.9629,0.09176,624
NXN/VBF,Asset Management,0.9708,0.09188,624
CMU/CXE,Asset Management,0.9928,0.09285,624
MHD/MVF,Asset Management,0.9896,0.09316,624
NVG/PMM,Asset Management,0.9882,0.09327,624
AFB/VGM,Asset Management,0.9938,0.09359,624
AFB/MYI,Asset Management,0.9861,0.09396,624
MQT/VGM,Asset Management,0.9892,0.09427,624
MHD/MMU,Asset Management,0.9872,0.09441,624
BFK/MVF,Asset Management,0.9818,0.09449,624
FMN/NXC,Asset Management,0.9581,0.09481,624
MQY/MUC,Asset Management,0.9844,0.09521,624
MHN/NAN,Asset Management,0.9818,0.09521,624
EHI/HIO,Asset Management,0.9843,0.09525,624
NEA/PMO,Asset Management,0.985,0.09532,624
MMU/MYD,Asset Management,0.9869,0.09541,624
NXN/PAI,Asset Management,0.9687,0.09543,624
IGI/NXC,Asset Management,0.9649,0.0957,624
BLE/NMI,Asset Management,0.9573,0.0958,624
MVT/MYN,Asset Management,0.9745,0.09621,624
BKN/NXC,Asset Management,0.9552,0.09639,624
AFB/MVF,Asset Management,0.977,0.09673,624
MMU/MVT,Asset Management,0.9761,0.09682,624
MHD/NXN,Asset Management,0.9463,0.09713,624
MYD/PMM,Asset Management,0.9591,0.09728,624
BFK/NAD,Asset Management,0.9652,0.09742,624
NNY/NUV,Asset Management,0.9794,0.09784,624
NNY/PMM,Asset Management,0.973,0.09846,624
MVT/MYD,Asset Management,0.9826,0.09849,624
MYD/NNY,Asset Management,0.9723,0.09852,624
GDO/JMM,Asset Management,0.9823,0.09902,624
MYD/VCV,Asset Management,0.9812,0.0993,624
MHD/MUA,Asset Management,0.9766,0.09946,624
BLE/NXC,Asset Management,0.9465,0.09989,624
DSM/MHD,Asset Management,0.9897,0.1004,624
NRK/NXN,Asset Management,0.9756,0.1007,624
NEA/VBF,Asset Management,0.979,0.10105,624
JMM/MMT,Asset Management,0.9735,0.10115,624
PNI/PYN,Asset Management,0.98,0.10184,624
MHN/MUC,Asset Management,0.9924,0.10191,624
IQI/NXN,Asset Management,0.9776,0.10238,624
BTA/NVG,Asset Management,0.9865,0.10258,624
BTA/PMO,Asset Management,0.9884,0.10275,624
EVN/NAC,Asset Management,0.9901,0.10285,624
AFB/MPA,Asset Management,0.9844,0.10289,624
MVF/SBI,Asset Management,0.9811,0.10305,624
EOT/MUA,Asset Management,0.9808,0.10318,624
AFB/MIY,Asset Management,0.9822,0.10352,624
NXN/VCV,Asset Management,0.9696,0.10357,624
FMN/MYN,Asset Management,0.9891,0.10402,624
ETB/EVT,Asset Management,0.9885,0.10403,624
MVT/VCV,Asset Management,0.9575,0.10412,624
MFM/NXN,Asset Management,0.9708,0.10497,624
BFK/NXN,Asset Management,0.9419,0.10508,624
MYI/NMT,Asset Management,0.9549,0.10532,624
AFB/NEA,Asset Management,0.9823,0.10539,624
EOT/HPI,Asset Management,0.935,0.1056,624
BYM/EVN,Asset Management,0.9881,0.10575,624
MVT/NMI,Asset Management,0.9488,0.10631,624
MVF/NMT,Asset Management,0.9529,0.10643,624
BFK/VCV,Asset Management,0.9686,0.10659,624
BLE/NNY,Asset Management,0.958,0.10669,624
NKX/NXC,Asset Management,0.9782,0.10691,624
FMN/MUC,Asset Management,0.9872,0.10693,624
BTA/MIY,Asset Management,0.9865,0.10713,624
MPA/NQP,Asset Management,0.9862,0.10728,624
FMN/NXN,Asset Management,0.9556,0.10752,624
NMI/VBF,Asset Management,0.9393,0.10758,624
MVT/MYI,Asset Management,0.9546,0.10855,624
MPA/MQT,Asset Management,0.9876,0.10886,624
BYM/MVT,Asset Management,0.9549,0.10905,624
NAD/NEA,Asset Management,0.9943,0.10912,624
EOT/PMO,Asset Management,0.9605,0.10977,624
IGI/JHS,Asset Management,0.9782,0.10983,624
MHF/NXJ,Asset Management,0.9807,0.10992,624
MHD/VCV,Asset Management,0.9702,0.10999,624
BYM/MYI,Asset Management,0.9892,0.11027,624
IIM/NIM,Asset Management,0.9763,0.1103,624
VKQ/VMO,Asset Management,0.9955,0.11063,624
CXE/NZF,Asset Management,0.9608,0.11091,624
BYM/MYN,Asset Management,0.9876,0.11101,624
NMI/NNY,Asset Management,0.9689,0.11104,624
MFM/PMM,Asset Management,0.9691,0.11119,624
MQY/NXC,Asset Management,0.9743,0.11175,624
EOT/PML,Asset Management,0.9524,0.11183,624
MUC/MYN,Asset Management,0.9936,0.11185,624
NXN/PMO,Asset Management,0.9747,0.11216,624
NIM/VPV,Asset Management,0.9739,0.11239,624
NMI/VCV,Asset Management,0.9781,0.1126,624
MMU/NAN,Asset Management,0.9675,0.11261,624
NIM/NMI,Asset Management,0.9592,0.11263,624
FMN/NIM,Asset Management,0.9544,0.1127,624
MQY/NKX,Asset Management,0.983,0.11279,624
IQI/NAD,Asset Management,0.9925,0.1129,624
BFK/NUW,Asset Management,0.9618,0.11293,624
BFK/MQY,Asset Management,0.9761,0.11299,624
MHF/NAN,Asset Management,0.9703,0.11326,624
NUW/VGM,Asset Management,0.9731,0.11349,624
MIY/VKQ,Asset Management,0.9834,0.11377,624
NEA/NIM,Asset Management,0.9814,0.11406,624
BLE/NCA,Asset Management,0.9554,0.11427,624
NQP/NRK,Asset Management,0.9904,0.1145,624
MHF/VKQ,Asset Management,0.9612,0.1146,624
MHF/VPV,Asset Management,0.9692,0.11494,624
NUW/VKQ,Asset Management,0.9693,0.11498,624
BTA/OIA,Asset Management,0.9802,0.11562,624
NXJ/NXN,Asset Management,0.9798,0.11569,624
MFM/MMU,Asset Management,0.9784,0.116,624
AFB/MUJ,Asset Management,0.9845,0.1162,624
JHI/WIW,Asset Management,0.9723,0.11625,624
IIM/VCV,Asset Management,0.9871,0.11635,624
EOT/PMX,Asset Management,0.9521,0.11696,624
MHN/MQY,Asset Management,0.9853,0.11701,624
BFK/BKT,Asset Management,0.9695,0.11708,624
BYM/PMO,Asset Management,0.9804,0.11721,624
MQT/NKX,Asset Management,0.9832,0.11731,624
IGI/PMM,Asset Management,0.9723,0.11751,624
HPS/RFI,Asset Management,0.975,0.11755,624
MQT/NXC,Asset Management,0.9723,0.11757,624
AFB/IQI,Asset Management,0.9912,0.11773,624
AFB/NXC,Asset Management,0.9637,0.11785,624
EFT/EVF,Asset Management,0.9957,0.118,624
FMN/NRK,Asset Management,0.9737,0.11818,624
NIM/NQP,Asset Management,0.9825,0.11833,624
BFK/BLE,Asset Management,0.9911,0.11837,624
EOT/PCQ,Asset Management,0.881,0.11847,624
NNY/PMO,Asset Management,0.9725,0.1185,624
FCT/PHD,Asset Management,0.9867,0.11852,624
BYM/MHN,Asset Management,0.9848,0.11863,624
EFR/PHD,Asset Management,0.9883,0.11883,624
DHF/VLT,Asset Management,0.9868,0.11897,624
MHD/NAN,Asset Management,0.9683,0.11921,624
MHD/NUW,Asset Management,0.9729,0.11964,624
MHF/NEA,Asset Management,0.9625,0.11976,624
DSM/EOT,Asset Management,0.9756,0.11995,624
IGI/MCR,Asset Management,0.9478,0.12066,624
IGI/MIN,Asset Management,0.9159,0.12071,624
NQP/NXN,Asset Management,0.9784,0.12101,624
EVN/NXC,Asset Management,0.9801,0.12105,624
IGI/NUV,Asset Management,0.976,0.1211,624
FMN/NMI,Asset Management,0.9691,0.12111,624
MIY/NAD,Asset Management,0.991,0.12131,624
MPA/VKQ,Asset Management,0.9845,0.12166,624
NNY/PAI,Asset Management,0.9744,0.12167,624
CXH/NXN,Asset Management,0.9751,0.12173,624
NIM/PAI,Asset Management,0.9618,0.12204,624
MYD/NMI,Asset Management,0.9708,0.12209,624
NAN/NUW,Asset Management,0.978,0.12241,624
BKN/NIM,Asset Management,0.9616,0.1227,624
AFB/NKX,Asset Management,0.9796,0.12283,624
HPF/HPI,Asset Management,0.9964,0.12299,624
BLE/MQT,Asset Management,0.972,0.12318,624
PMM/VKQ,Asset Management,0.9825,0.12326,624
MYI/NKX,Asset Management,0.988,0.12338,624
BFK/NNY,Asset Management,0.9549,0.12341,624
CGO/CHW,Asset Management,0.9929,0.12348,624
MHN/VGM,Asset Management,0.9882,0.12363,624
FMN/MYI,Asset Management,0.9804,0.12369,624
EFR/EVF,Asset Management,0.9954,0.1238,624
NMI/NUV,Asset Management,0.9603,0.12391,624
MUC/NXC,Asset Management,0.9567,0.12415,624
BGY/TWN,Asset Management,0.9604,0.12417,624
BTA/MFM,Asset Management,0.9687,0.12439,624
MYD/NUV,Asset Management,0.964,0.12451,624
MYD/NRK,Asset Management,0.9725,0.1248,624
IGI/NRK,Asset Management,0.9733,0.12519,624
MHF/VGM,Asset Management,0.9583,0.12531,624
