Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
G/INFY,Information Technology Services,0.8738,0.53305,624
INFY/LDOS,Information Technology Services,0.8948,0.53865,624
EXLS/FORTY,Information Technology Services,0.8469,0.53922,624
FORTY/WNS,Information Technology Services,0.9145,0.54155,624
TTGT/WNS,Information Technology Services,0.8428,0.54495,624
FORTY/TTGT,Information Technology Services,0.8409,0.5476,624
TTEC/TTGT,Information Technology Services,0.8656,0.55186,624
CACI/G,Information Technology Services,0.8562,0.55224,624
ACN/LDOS,Information Technology Services,0.9383,0.55684,624
G/LDOS,Information Technology Services,0.8738,0.55707,624
FORTY/INFY,Information Technology Services,0.9194,0.56404,624
BR/CSPI,Information Technology Services,0.8271,0.56468,624
G/JKHY,Information Technology Services,0.9448,0.56561,624
FI/INFY,Information Technology Services,0.8618,0.57224,624
FI/G,Information Technology Services,0.8827,0.57233,624
FI/FORTY,Information Technology Services,0.8668,0.57714,624
BR/HCKT,Information Technology Services,0.9374,0.59132,624
FORTY/G,Information Technology Services,0.9449,0.59966,624
BR/G,Information Technology Services,0.9039,0.60691,624
BR/CTSH,Information Technology Services,0.8526,0.61476,624
BR/FORTY,Information Technology Services,0.9083,0.61643,624
BR/EXLS,Information Technology Services,0.9312,0.62058,624
ACN/CTSH,Information Technology Services,0.837,0.63506,624
BR/JKHY,Information Technology Services,0.9354,0.63728,624
BR/LDOS,Information Technology Services,0.9686,0.64913,624
